PINMUX_DEBUGPORT_CKG,0,,,
PINMUX_DEBUGPORT_GROUP_NONE,0,,,
PINMUX_DEBUGPORT_GROUP1,256,,,
PINMUX_DEBUGPORT_GROUP2,512,,,
,,,,
PIN_UART_CFG_NONE,0,,,
PIN_UART_CFG_CH_1ST_PINMUX,1,P_GPIO0[]|P_GPIO1[],,
PIN_UART_CFG_CH_2ND_PINMUX,2,P_GPIO15[]|P_GPIO16[],,
PIN_UART_CFG_CH_3RD_PINMUX,4,D_GPIO7[]|D_GPIO8[],,
PIN_UART_CFG_CH_CTSRTS,8,P_GPIO2[]|P_GPIO3[],P_GPIO17[]|P_GPIO18[],P_GPIO9[]|P_GPIO10[]
PIN_UART_CFG_CH2_1ST_PINMUX,16,P_GPIO4[]|P_GPIO5[] ,,
PIN_UART_CFG_CH2_2ND_PINMUX,32,P_GPIO8[]|P_GPIO9[],,
PIN_UART_CFG_CH2_CTSRTS,64,P_GPIO6[]|P_GPIO7[],P_GPIO10[]|P_GPIO11[],
PIN_UART_CFG_CH3_1ST_PINMUX,256,P_GPIO8[]|P_GPIO9[],,
PIN_UART_CFG_CH4_1ST_PINMUX,4096,P_GPIO10[]|P_GPIO11[],,
PIN_UART_CFG_CH4_2ND_PINMUX,8192,P_GPIO12[]|P_GPIO13[],,
PIN_UART_CFG_CH5_1ST_PINMUX,65536,J_GPIO3[]|J_GPIO4[],,
PIN_UART_CFG_CH5_2ND_PINMUX,131072,P_GPIO19[]|P_GPIO20[],,
,,,,
PIN_I2C_CFG_NONE,0,,,
PIN_I2C_CFG_CH_1ST_PINMUX,1,P_GPIO12[]|P_GPIO13[],,
PIN_I2C_CFG_CH_2ND_PINMUX,2,D_GPIO9[]|D_GPIO10[],,
PIN_I2C_CFG_CH2_1ST_PINMUX,16,P_GPIO19[]|P_GPIO20[],,
PIN_I2C_CFG_CH3_1ST_PINMUX,4096,P_GPIO33[]|P_GPIO34[],,
PIN_I2C_CFG_CH3_2ND_PINMUX,8192,J_GPIO0[]|J_GPIO1[],,
PIN_I2C_CFG_CH3_3RD_PINMUX,16384,P_GPIO6[]|P_GPIO7[],,
PIN_I2C_CFG_CH3_4TH_PINMUX,32768,MC10[]|MC11[],,
PIN_I2C_CFG_HDMI_1ST_PINMUX,65536,P_GPIO37[]|P_GPIO38[],,
,,,,
PIN_SDIO_CFG_NONE,0,,,
PIN_SDIO_CFG_1ST_PINMUX,1,P_GPIO12[]|P_GPIO13[]|P_GPIO15[]|P_GPIO16[]|P_GPIO17[]|P_GPIO18[],,
PIN_SDIO2_CFG_1ST_PINMUX,16,MC8[]|MC9[]|MC10[]|MC11[]|MC12[]|MC13[],,
PIN_SDIO2_CFG_BUS_WIDTH,32,MC2[]|MC3[]|MC4[]|MC5[],,
PIN_SDIO2_CFG_DS,64,MC6[],,
,,,,
PIN_SPI_CFG_NONE,0,,,
PIN_SPI_CFG_CH_1ST_PINMUX,1,MC0[]|MC1[]|MC2[]|MC3[],,
PIN_SPI_CFG_CH_BUS_WIDTH,16,MC4[]|MC5[],,
PIN_SPI_CFG_CH_CS1,32,MC6[],,
,,,,
PIN_EXTCLK_CFG_NONE,0,,,
PIN_EXTCLK_CFG_CH_1ST_PINMUX,1,P_GPIO26[],,
PIN_EXTCLK_CFG_CH2_1ST_PINMUX,2,P_GPIO27[],,
PIN_EXTCLK_CFG_CH3_1ST_PINMUX,4,P_GPIO28[],,
PIN_EXTCLK_CFG_CH4_1ST_PINMUX,8,P_GPIO29[],,
,,,,
PIN_SSP_CFG_NONE,0,,,
PIN_SSP_CFG_CH_1ST_PINMUX,1,P_GPIO15[]|P_GPIO16[],,
PIN_SSP_CFG_CH_1ST_MCLK,2,P_GPIO14[],,
PIN_SSP_CFG_CH_1ST_TX,4,P_GPIO18[],,
PIN_SSP_CFG_CH_1ST_RX,8,P_GPIO17[],,
PIN_SSP_CFG_CH2_1ST_PINMUX,16,P_GPIO22[]|P_GPIO23[],,
PIN_SSP_CFG_CH2_1ST_MCLK,32,P_GPIO21[],,
PIN_SSP_CFG_CH2_1ST_TX,64,P_GPIO25[],,
PIN_SSP_CFG_CH2_1ST_RX,128,P_GPIO24[],,
PIN_SSP_CFG_CH3_1ST_PINMUX,256,D_GPIO4[]|D_GPIO5[],,
PIN_SSP_CFG_CH3_2ND_PINMUX,512,P_GPIO21[]|P_GPIO25[],,
